-able	可;易
abundant	丰;丰富;丰水;丰美;丰足;习习;五谷丰登;充沛;充畅;充盈;充裕;充足;博;地大物博;天龙国;奕;富;康;得道多助;殷;沛;湑;满满登登;灵通;琳琅满目;盎;盎然;秋荼密网;穰;纾;给;聚宝盆;萋萋;蓁;蓬蓬;蕡;裕;遝;金玉满堂;阜;隐生宙;雄厚;饶
abundantly	开满;昭然若揭
abuse	三仇;业障;以权压法;以言代法，以权压法;作威作福;侮骂;僝;冷暴力;医闹;受虐;吃拿卡要;呵责;复吸;奸官污吏;宿弊;徇私舞弊;怒骂;性虐待;恶声;批斗;挨打受骂;施虐;日本鬼子;枉顾;泼妇骂街;洋鬼子;流弊;淫威;滥权;滥用;滥用权力;滥用职权;滥骂;狗血喷头;狗血淋头;破口大骂;社鼠城狐;给脸不要脸;耻骂;虐待;蠹弊;詈骂;诈尸;诟骂;谇;谩骂;贪官污吏;贪赃枉法;赃官污吏;辱骂;通;骂;骂不绝口;骂架
abused	口袋罪;心影儿
abuser	施虐者
abuses	兽父;骂街
abusing	假公济私
abutilon	冏;苘;苘麻
abutment	基台;基牙;支座;桥台
abuzz	沸沸扬扬
abv	无醇啤酒
abysmal	稀烂
abyss	不啻天渊;九渊;奫;如临深渊;旋渊;水深火热;深处;深渊;深潭;渊海;潭府;脱离苦海;苦海;苦海无边，回头是岸
abyssal	深成岩
abyssinia	阿比西尼亚
abyssinian	阿比西尼亚人
ac	反用换流器
acacia	刺槐;毛洋槐;金合欢;阿拉伯胶
academia	中央研究院;中研院;兼任;名宿;学术圈;学术界;学界;政府大学院;教育界;游走
academic	一作;书卷奖;修读;做学问;博士;博斯沃思;双减;双学位;名誉学位;周作人;商学;国子监;基辛格;大学入学指定科目考试;学业有成;学位;学分小时;学历;学年;学术;学术圈;学术水平;学术界;学术自由;学界;学硕;学科;学衔;学门;学霸;学风;宗;宗匠;官学;家法;导师;履历;工科;布热津斯基;师公;师爷;应届生;影响因子;德国学术交流总署;德意志学术交流中心;必修;招考;指考;授衔;教学楼;教育界;方帽;普通高中;普高;江平;理工;理工科;琳·戴维斯;甘巴里;科目;第一作者;红学;耕读;讲座;课程;通讯作者;门;顶会;顶刊;高职
academician	博士;学会院士;通讯院士
academics	翰林
academies	辟雍
academism	学院派
academy	上海戏剧学院;专科院校;中国工程院;中国社会科学院;中国科学院;中央戏剧学院;中科院;书院;军校;北京电影学院;北京舞蹈学院;国子监;奥斯卡;奥斯卡金像奖;学会院士;学园;岳麓书院;广州美术学院;庶吉士;皇家学会;研究院;社科院;科学院;翰林;翰林学士;翰林院;色长;西点军校;通讯院士;院士;院校;音乐之声;音乐学院;黄埔军校
acadia	阿卡迪亚大学
acanthis	极北朱顶雀;白腰朱顶雀
acanthizoides	黄腹树莺
acanthopanax	五加;刺五加
acanthorhodeus	兴凯刺鳑鲏;越南刺鳑鲏
acapulco	阿卡普尔科
accede	俞;嗣国;有求必应
accelerando	渐快
accelerate	加大油门;加快;加油;加速;增速;开大油门;开足马力;追赶
accelerated	速成
acceleration	加速度;恒加速度;重力加速度
accelerator	加速器;加速踏板;气门;油门;直线加速器;直线性加速器;粒子加速器;节流踏板
accent	乡音;侉;侉子;南腔北调;口吻;口音;呔;土音;塑料普通话;强调色;怪腔怪调;怯子;方音;汉腔;洋腔洋调;腔;腔子;腔调;英伦腔;调;重音
accented	板;重音节;雨女无瓜
accentor	栗背岩鹨;棕眉山岩鹨;棕胸岩鹨;褐岩鹨;贺兰山岩鹨;领岩鹨;高原岩鹨;鸲岩鹨;黑喉岩鹨
accents	调号
accenture	埃森哲
accept	不以为然;不敢当;不服;不甘于;买帐;从善如流;从谏如流;俯就;劝驾;卖关节;卡式;去取;取其精华，去其糟粕;取舍;受;受取;受持;受理;受礼;受禅;受纳;受贿;受降;听命;听天安命;吸纳;哂纳;囫囵吞枣;塞给;奉;好汉做事好汉当;委曲求全;嫁鸡随鸡;宁缺毋滥;容受;察纳;将就;将错就错;尽人事，听天命;应聘;底线;引咎;录取;录用;心悦诚服;心服;心服口服;心眼儿;恭敬不如从命;想开;愧不敢当;愿赌服输;承乏;承做;承兑;承办;承接;承运;抗命;拒不接受;拒付;拒收;拜认;授受;接下来;接住;接单;接受;接戏;接收;接纳;提货;摘牌;收;收下;收受;收容;收礼;收纳;敢做敢当;方命;既来之，则安之;服气;点收;照单全收;玩不起;相信;看开;笑纳;答应;纳;纳新;纳福;纳贿;纳降;节哀顺变;藏污纳垢;衔;认命;认头;认罚;认赔;认领;许亲;诚服;采纳;闻过则喜;随缘;随遇而安;领受;领命;领收;领罪;验收;高不凑低不就;高不成低不就;高低不就;默许
acceptability	可接受性
acceptable	悦纳;擦边;最低限度;未尝不可;皆可;落忍;说得过去;过时不候
acceptance	也罢;包容心;录取率;推动;提示承兑;验收
accepted	□;公认;吃人家的嘴软，拿人家的手短;定论;定说;成说;无争议;曹雪芹;相沿成习;超标
accepting	他山之石可以攻玉;地藏;地藏王菩萨;地藏菩萨;复核;大愿地藏菩萨;弃取;截稿;旷达;甘于
acceptor	受主;受体
accepts	田忌赛马;龟男
access	介质访问控制;介质访问控制层;侵入;信息差;内存;准入;凭单;取用;吧;天龙国;媒体访问控制;孔道;存取;封山育林;封沙育林;市场准入;市场换技术;开架;打通;接入;接入点;接触;接驳;敲开;断网;无从;权限;桥头堡;步登公寓;盖门;码分多址;窗口;蜘蛛人;访问;调阅;进出口;进接;遮断;锁定;门径;门禁;闸口;防火长城;随机存取;随机存取存储器;随机存取记忆体
accessibility	亲和力
accessible	可寻址;四通八达;无障碍;易取得;易接近;普惠;浅显;白香词谱
accession	即位
accessories	佩带
accessory	从犯;副乳;帮凶;配件;配件挂勾;附件;附属品;饰品
accident	一起;三长两短;不经意;事故;交通意外;人身事故;伤者;偶然事件;免遭;凶事;出事;出警;受伤;变故;善后;失事;存活;安然无恙;山难;岔子;差错;开门杀;意外;意外事故;撞;撞见;死伤者;死难;死难者;毕命;海事;灾场;现场;碰瓷;空难;罹难;肇事;肇祸;致残;责任事故;跑车;车祸;长短;闪失;闯祸;防患
accidental	事故照射;偶;偶见;变化音;变音;变音记号;安全裤;无意;误伤;闪失
accidentally	一不小心;偶一;失手;弄假成真;擦枪走火;无意中;波洛涅斯;误伤;误打误撞;误触;误食;走火;踩雷;露点
accidents	以备不测;高发
accipiter	凤头鹰;日本松雀鹰;松雀鹰;苍鹰;褐耳鹰;赤腹鹰;雀鹰;鹞
acclaim	叹为观止;喝彩;喝采;夸称;欢呼;满堂彩;称誉;誉;赞誉;追捧
acclaimed	驰誉
acclamation	公推
acclimatize	服
acclimatized	不服水土;水土不服
accolade	先进个人;先进集体;盛赞
accommodate	两全;凑趣;变通;容下;容纳;收容;放得下;群租;迁就;通融;香几
accommodating	圆融;圆通;好惹;容让;忍让;橾;浑圆;温良忍让;相通;让畔
accommodation	互让;住宿;农家乐;工棚;店钱;统舱;陪睡
accompanied	伴有;偕同;坠子;常德丝弦;快板;携眷;数来宝;辅以
accompaniment	佐餐;帮腔;弦歌;弹词;快板儿;琴书;莲花落
accompany	久陪;交加;京二胡;京胡;伴;伴同;伴奏;伴随;佐;佐酒;作伴;做伴;出殡;出钟;奉陪;对酒当歌;护送;搭伴;相伴;相随;追随;送;送人;酒菜;陪;陪伴;陪侍;陪同;陪读;陪送;随从;随伴;随行;随访
accompanying	下饭;附件;随同
accompli	既成事实
accomplice	为虎作伥;从犯;共犯;凶党;同伙;同党;同案犯;同犯;同谋;团伙;帮凶;爪牙;胁从犯
accomplices	手足
accomplish	一步到位;做到;办不到;办到;大有作为;天下无难事，只怕有心人;完成;建功立业;得志;成;成事;成事不足，败事有余;成全;未遂;毕其功于一役;独木不成林;设法;达成;难以实现;非一日之功
accomplished	下不来;停当;大功告成;大限到来;少年老成;彦;彧;才媛;歌后;百事无成;风流
accomplishes	得心应手
accomplishing	劳而无功;无所作为;谋事在人，成事在天;醉翁之意不在酒;马齿徒增
accomplishment	业绩;作为;修养;傲视群伦;功;勋;名堂;大放异彩;居功自傲;成功感;成就;社交才能;素养;绩;雕虫小技;𪟝
accomplishments	功高盖主;千里之行，始于足下;吹捧;守业;守成;彪炳;果实累累;武功;琴棋书画;表功
accord	主动;协定;原原本本;合乎;合于;推崇;推重;洽;给予;自来;赠予;雅阁;龤;𫍯
accordance	依着;准;因材施教;循;按照;据;照;率由旧章;符合;遵办;遵照;遹
accorded	哀荣;国民待遇;见外;超国民待遇
according	一丝不苟;一说;不合体统;不成体统;丰俭由人;乱码;事无巨细;以;任人唯贤;依;依据;依法;依法治国;依照;依计行事;傻瓜干面;六书;包工;包活;各尽所能;地牛翻身;地脉;大桥;太极;如意;学名;对号入座;小桥;年功加俸;应天承运;应天顺时;应市;应景;应景儿;循规蹈矩;意中;所能;批八字;拔示巴;按;按劳分配;按季;按照;按理;按需;按需分配;据;据估计;据信;据实;据实以告;据悉;据报;据报导;据报道;据料;据理;据称;据统计;新军;本体;本命年;根据;梯次;榜单;正经;正规;比照;水涨船高;沿例;沿用;法办;湘妃竹;照;照理;照章;玄之又玄;玛窦福音;相传;相体裁衣;相机而行;看人下菜碟儿;看人行事;看着办;看菜吃饭;看菜吃饭，量体裁衣;知人善任;秩;约翰福音;绳之以法;联产到劳;菜式;虚岁;衰之以属;见机行事;规整;规行矩步;调制;谴责小说;路加福音;逢场作戏;酌收;配料;量体裁衣;量力而为;问名;随;随俗;随地;随意;随机;随机应变;随行就市;顺风转舵;马可福音;马太福音;龙龛手鉴
accordingly	因应;据此;相应;量入为出;量力而为;量力而行;量才录用;随之;顺延
accordion	奏帖;奏折;手风琴;折奏;摺
account	三国演义;不计;世说新语;主诉;交代;人头;付账;会计科目;余额;储值;公众号;公私兼顾;决算;切莫;划拨;刘义庆;到账;动账;勾勒;占去;占有;受累;叙述;口径;叱问;名义账户;后账;因为;基于;复权;大V;子丑寅卯;存入;存簿;官微;密帐;封号;封存;小号;尾数;巧立名目;开户;开立;往来帐户;怀璧其罪;惹火烧身;慕名而来;户口;户头;手机条码;批价;报销;抬头;损益表;收益帐户;敷陈;旧账;有息;栈单;死账;汇兑;汇报;波提乏;活期;活期帐户;流水账;清零;满打满算;煞账;登记名;盗刷;盗取;盗号;直笔;直陈;稗官野史;算不了;算账;簿册;簿籍;经常账户;绑定;结单;结清;结算;统筹兼顾;缘起;群言堂;老账;营销号;藏头露尾;解绑;记录;记账;记载;记述;讲述;账;账册;账号;账户;账本;账款;账簿;质问;赊欠;赊账;赊销;起号;转账;载具;辍朝;还账;进账;述说;追记;逢凶化吉;酌情;销号;销帐;销户;问罪;骑劫
account-book	簿
accountability	当责;明厨亮灶;问责性
accountable	办罪;担责;追责;问责
accountancy	会计;会计学;借方差额;增值;增加值;备抵;岁计余绌;捐赠盈余;收益帐户;正常成本;用人经费;约当现金;试算表;调节;运出运费;销货帐;附加值
accountant	会计;会计师;审计员;注册会计师;账房
accounting	T字帐;主计;主计室;人各有所好;会计;会计准则理事会;会计制度;会计学;公允价值;冲账;冲销;分录;历史成本;叙明;商誉;复式;对账;平账;应计;应计基础;换算;查帐;核算;注销;流动负债;流动资金;现金基础;盯市;算账;精打细算;营运资金;记作;财会;财务软件;账目;过帐;预提费用
accounts	两清;互粉;交帐;亲兄弟，明算帐;会;假账;做账;双开;审计署;应付账款;应收账款;折;折子;报账;查帐;汇算;清;清算;烂账;秋后算帐;秋后算账;符类福音;算账;糊涂账;结账;翻旧账;翻老账;自媒体;记账;账房;账目;账载;账面;轧;钩稽;销账
accoutrements	配饰
accra	阿克拉
accretion	吸积;积冰
accrual	应计
accruals	应计基础
accrued	预提费用
accumbens	伏隔核
accumulate	伫;儹;委;拼卡;攒;敛财;日积月累;生财有道;积;积久;积于忽微;积劳成疾;积压;积德;积德累功;积攒;积累;积肥;积郁;积金累玉;稹;累;累积;絫;聚敛;聚沙成塔;聚积;蓄积;蕴;蕴含;蕴涵;蕴积;蕴聚;藴;裒敛无厌;集资
accumulated	公积金;出清;厚积薄发;堆案盈几;新仇旧恨;积习成俗;积分;积垢;积怨;积恶;积恶余殃;积愤;积水;积淀;积郁;累累;蓄势待发;闪爆
accumulating	汤玉麟
accumulation	千里之行，始于足下;堆积;石头奶;积累;聚点
accumulative	堆垒
accumulator	电瓶;累加器;蓄电池;铅酸蓄电池
accupuncture	得气
accuracy	准头;准确性;料事如神;百发百中;精密;精确度
accurate	不爽;丝毫不差;写意;准;准确;块规;毫厘不爽;毫发不爽;灵验;界画;粗略;精准;精确;翔实;详实;通灵
accurately	写真
accusation	分辩;告发;坐实;对簿;对簿公堂;指控;控罪;昭雪;求锤得锤;砌词捏控;答辩;罪名
accusations	倒打一耙;含冤;含血喷人;巫蛊之祸;扣屎盔子;抗辩;指桑骂槐;捕风捉影;浣雪
accusative	宾格
accuse	举发;冤枉;参劾;反污;弹;弹斥;弹纠;归咎;怨天尤人;指控;控;控告;控诉;攀诬;攻;攻击;讦;诬;诬告;诬赖;谰言;贼喊捉贼
accused	伍奢;反坐;张成泽;朱云折槛;百口莫辩;被告;被控
accuser	反坐
accusingly	哭诉
accustomed	一回生二回熟;不服水土;习以为常;习以成俗;习惯成自然;吃不服;安于;忕;惯;惯性;狃;生疏;见怪不怪;过惯
ace	幺;幺点;王牌
ace-deuce	幺二
aceh	亚齐;亚齐省;班达亚齐
aceldama	血田
acenaphthene	苊
acer	宏碁;宏碁集团;枫
acerbic	咸涩;尖刻;涩味
acerbity	涩
acerifolia	法国梧桐
aceros	棕颈犀鸟
aces	对幺;考霸
acesulfame	安赛蜜;醋磺内酯钾
acetabulum	腹吸盘
acetal	塑钢
acetaldehyde	乙醛
acetaminophen	对乙酰氨基酚
acetate	乙酸盐;双唑泰栓;醋酸;醋酸乙酯;醋酸纤维
acetic	乙酸;冰醋酸;醋酸
acetidin	醋酸乙酯
acetoarsenite	巴黎绿
acetone	丙酮
acetosa	酸模
acetyl	乙酰;乙酸基;乙酸根
acetylcholine	乙酰胆碱
acetylene	乙炔
acftu	中华全国总工会
acg	11区;伪娘;卡池;吧唧;异世界;御姐;欧派;海贼版;猫娘;痛车;百合;纸片人;谷子;里番;阿黑颜;颜艺
ach	乙酰胆碱
achaemenid	阿契美尼德王朝
achaia	亚该亚
achang	阿昌;阿昌族
ache	作痛;发痛;痛;痠;酸疼;酸痛;隐隐作痛
acheng	阿城区
acheron	阿克伦;阿克伦河
aches	万金油
acheson	艾奇逊
achieve	一个巴掌拍不响;一口吃个胖子;一步到位;一炮打响;上岸;不求有功，但求无过;业荒于嬉;临渊羡鱼，不如退而结网;事半功倍;事在人为;人非生而知之者，孰能无惑;修成正果;做到;冲刺;出线;创;功完行满;励志哥;勉勉强强;参悟;双碳;发达;取得胜利;吃得苦中苦，方为人上人;名噪一时;四两拨千斤;大彻大悟;奏;好大喜功;孤掌难鸣;实现;工具;建功立业;径情直遂;得道;成就;放卫星;斩获;有成;有所作为;横空出世;殊途同归;毁于一旦;水滴石穿;求好心切;涅槃;滴水石穿;滴水穿石;熬出头;独立门户;玉成;瞒天过海;舍不得孩子套不住狼;落空;见效;豁然开朗;达不到;达到;达致;连中三元;速成;邪修;铩羽而归;难产;难以实现;飞升;飞黄腾达
achieved	一事无成;住;元龙;入关学;前功尽弃;妆容;有赖;百尺竿头，更进一步
achievement	一口吃不成胖子;业绩;丰功;丰功伟绩;丰碑;伟举;作为;出神入化;功;功业;功勋;功名;功成不居;功烈;勋业;勋绩;可圈可点;吏治;成就;成就感;成果;成绩;无功而返;水准;硕果;绩效;补天浴日;邀功;鸡娃
achievements	两弹一星;功劳簿;功德;功德圆满;功德无量;功绩;功罪;功高不赏;千里之行，始于足下;南泥湾;名垂青史;好汉不提当年勇;妒嫉;妒忌;志得意满;战绩;抢功;政绩;文治武功;斐然;烈;生平事迹;登峰造极;硕果累累;立传;累累;考绩;自豪;行行出状元;贪天之功;造就
achiever	高材生
achieving	小道;抓手;无成;毫无效果;过河拆桥
achillea	蓍
achilles	死穴;罩门;致命伤;观衅伺隙;跟腱;阿喀琉斯;阿奇里斯
achilleus	阿喀琉斯;阿奇里斯
achim	亚金;以律;撒督
aching	酸;酸软
achyranthes	怸;牛膝
aciclovir	阿昔洛韦
aciculatus	竹节草
acid	不饱和脂肪酸;丙氨酸;丙烯酸;丙酮酸;丝氨酸;两性;乙酸;乙醇酸;乳酸;乳酸菌;二甲基砷酸;二甲基胂酸;亚砷酸;亚硝酸;亚硫酸;亚麻酸;亮氨酸;冰醋酸;半胱氨酸;单宁酸;去氧核糖核酸;双链核酸;反式脂肪;反酸;叶酸;嗳气吞酸;嗳腐吞酸;多元不饱和脂肪酸;天冬氨酸;天冬酰胺;尖酸;尿酸;异亮氨酸;弱酸;强酸;微整形;抗坏血酸;柠檬酸;柠檬酸循环;核糖核酸;核酸;樲;次氯酸;次溴酸;氟化氢;氟硅酸;氢化氰;氢卤酸;氢氟酸;氢氯酸;氢溴酸;氨基苯酸;氨基酸;氯酸;氰酸;水杨酸;油酸;泛酸;烟碱酸;烟酸;玻尿酸;甘氨酸;甲硫氨酸;甲酸;盐酸;硅酸;硝酸;硫氰酸;硫酸;硬脂酸;硼酸;碘酸;碳酸;磷酸;磷酸盐;精氨酸;组氨酸;缬氨酸;羟基丁酸;羧基酸;羧酸;耐受性;胃酸;胺基酸;脂肪酸;脯氨酸;腐殖酸;色氨酸;苏氨酸;苯丙氨酸;苯甲酸;草酸;蚁酸;蛋氨酸;谷氨酰胺;谷氨酸;赖氨酸;软脂酸;透明质酸;酒石酸;酪氨酸;酰;酸;酸式盐;酸根;酸溜溜;酸雨;醇酸;醋酸;镪;镪水;鞣酸;饱和脂肪酸;马兜铃酸
acid-resistant	耐酸
acidic	黄壤
acidity	酸性
acidophilus	嗜酸乳杆菌
acids	侧链;多肽;缩氨酸;肽;肽聚糖;肽链
acinosa	蓫
acipenser	鲟;鳣
acknowledge	不理;买帐;受礼;坦言;懒得搭理;承兑;承认;承运;拜;拜人为师;故步自封;服软;相认;知过改过;答理;签收;耍赖;臣服;自认;认亲;认同;认账;认贼作父;认错;鸵鸟政策
acknowledged	一席之地;执牛耳
